index,1_0_560,1_0_777,1_0.1_560,1_0.1_777,1_0.3_560,1_0.3_777,1_0.6_560,1_0.6_777
1,3754,3745,3798,3796,3759,3618,3854,3735
2,3839,3946,4059,6358,3819,4694,3842,3910
3,3826,4422,5145,12809,4227,11862,3872,4230
4,4080,6062,5603,12027,4804,11875,3946,5651
5,4694,9746,5295,11196,4939,11547,4067,8654
6,5035,10458,5296,11150,4918,11427,4407,11282
7,5095,10011,5282,11153,4934,11598,4658,11274
8,4938,9974,5177,11250,4962,11594,4718,11542
9,4934,9895,5024,11068,4930,11758,4826,11484
10,4954,9922,5090,11427,4963,11796,4784,11627
11,4824,9756,5126,11535,5030,12010,4784,11718
12,4810,9791,5107,11508,4890,11931,4858,11638
13,4830,9968,4971,11770,4939,12194,4802,11690
14,4854,10174,4987,11762,4903,11954,4739,11822
15,4907,9982,5010,11646,4967,11983,4847,11747
16,4730,10043,4923,11770,4823,12159,4691,11738
17,4891,10200,4982,11978,4970,12402,4790,11894
18,4818,10296,4962,11874,4766,12386,4650,11726
19,4716,10113,4922,11962,4946,12336,4744,11664
20,4773,10338,4934,12114,4898,12410,4803,11986
21,4751,10408,4925,12195,4816,12506,4794,11972
22,4803,10432,5024,12352,4821,12563,4778,12211
23,4802,10644,4923,12704,4875,13039,4722,12219
24,4748,10891,5043,12814,4955,12914,4718,12371
25,4746,11082,5011,13184,4931,13363,4938,12499
26,4658,11136,5019,13314,4982,13852,4791,12830
27,4704,11383,4910,13438,4951,13731,4828,12946
28,4674,11758,5005,13540,4898,13950,4807,13142
29,4755,11810,4948,13880,4912,14191,4778,13386
30,4694,12014,4910,14042,4958,14111,4786,13435
31,4666,12154,4930,14318,4942,14507,4778,13578
32,4803,12138,4970,14353,4932,14395,4822,13847
33,4674,12458,4992,14738,4970,14811,4767,13935
34,4762,12518,4928,14501,5034,14941,4815,13982
35,4715,12446,5015,14732,4970,14954,4676,14191
36,4718,12694,5082,15012,4947,15090,4780,14574
37,4722,12794,4946,14985,4855,15487,4814,14496
38,4667,13042,4995,15243,4939,15423,4916,14486
39,4768,13158,5039,15186,4934,15478,4890,14738
40,4640,13135,5011,15507,5040,15454,4859,14706
41,4723,13494,4990,15362,5094,15463,4802,14731
42,4659,13691,5022,15642,4958,15638,4930,14715
43,4810,13782,4986,15619,4946,15767,4978,15280
44,4661,13774,5064,15807,4980,16128,4863,14926
45,4694,14050,4907,15771,4995,15986,4926,15115
46,4687,14103,4966,16007,4990,15898,4858,15427
47,4822,14064,4987,16106,4995,16071,4793,15187
48,4706,14035,5019,16158,4966,16318,4815,15474
49,4888,14410,4950,16458,4966,16490,4842,15567
50,4742,14375,4979,16517,4970,16382,4794,15607
51,4678,14425,4950,16486,4947,16532,4800,15718
52,4787,14669,4971,16598,4913,16685,4879,15810
53,4706,14756,5018,16651,4954,16638,4923,15738
54,4751,14900,4955,16936,4968,16747,4859,15818
55,4712,14814,5016,17067,4867,17010,4915,16022
56,4715,14834,4914,17022,5000,16990,4962,15918
57,4736,15242,5015,16890,4963,16982,4906,16026
58,4648,15170,4987,17196,4954,17064,4894,16194
59,4688,15125,4867,17159,4914,17174,4934,16226
60,4615,15131,4898,17494,4996,17467,4895,16271
61,4719,15146,4903,17450,5024,17494,4926,16095
62,4618,15478,4850,17446,4907,17518,4862,16262
63,4731,15638,4938,17805,4894,17536,4870,16479
64,4626,15874,4842,17619,4942,17690,4922,16346
65,4706,15935,4828,17779,5024,17563,4811,16600
66,4670,15904,4823,17992,4863,17720,4954,16611
67,4710,15848,4906,18006,4971,17818,4922,16887
68,4558,15962,4954,18155,4906,17895,4800,16722
69,4710,16256,4874,18189,4990,18046,4922,16850
70,4646,16189,4848,18418,4987,18070,4855,16824
71,4550,16347,4960,18579,4947,17899,4847,17002
72,4610,16086,4886,18723,4906,18303,4978,17145
73,4598,16399,4872,18741,4902,18352,4855,17074
74,4530,16567,4899,18914,5098,18415,4854,17146
75,4554,16612,4867,19130,4839,18344,4868,17238
76,4476,16591,4862,18992,4894,18619,4883,17308
77,4546,16878,4844,19399,4975,18878,4768,17464
78,4503,17070,4905,19574,4954,18718,4820,17382
79,4546,17063,4810,19838,4906,18848,4860,17710
80,4526,17189,4844,20018,4938,18956,4906,17518
81,4479,17318,4850,20040,4863,19134,4817,17658
82,4492,17335,4975,20082,5007,19047,4810,17631
83,4471,17655,4814,20203,4947,19378,4786,17956
84,4391,17786,4755,20542,4958,19506,4828,17559
85,4405,18061,4847,20698,4878,19522,4814,17874
