index,1_0_560,1_0_777,1_0.1_560,1_0.1_777,1_0.3_560,1_0.3_777,1_0.6_560,1_0.6_777
1,5323,5285,5357,5256,5231,5180,5162,5136
2,5255,5268,5311,5323,5287,5623,5176,7202
3,5625,6710,5475,6007,5643,9875,5593,9908
4,8209,10245,7860,10135,6593,10310,6037,9926
5,8511,10109,8540,10321,7019,10194,6395,9746
6,8194,9967,8263,10490,7075,10272,6594,9797
7,8128,10066,7850,10324,7091,10204,6644,10165
8,7861,10122,7824,10600,7020,10381,6644,10165
9,7829,10189,7788,10520,7055,10665,6627,10100
10,7651,10353,7707,10549,6993,10644,6761,10218
11,7651,10456,7696,10781,7081,10640,6649,10220
12,7569,10416,7610,10753,7066,10807,6621,10292
13,7535,10447,7676,10993,7075,10752,6741,10455
14,7528,10648,7623,10932,7094,11047,6748,10570
15,7407,10757,7603,11081,7084,10960,6694,10657
16,7418,10898,7501,11230,7168,11333,6800,10831
17,7303,11045,7594,11364,7137,11369,6834,10939
18,7482,11370,7493,11591,7207,11465,6765,10956
19,7424,11446,7550,11865,7172,11639,6871,11032
20,7373,11541,7532,11970,7149,11787,6844,11288
21,7457,11714,7530,12120,7140,12132,6850,11353
22,7389,11993,7556,12209,7198,12233,6810,11525
23,7531,12185,7623,12233,7146,12055,6825,11872
24,7457,12171,7565,12493,7311,12389,6856,11919
25,7551,12422,7561,12501,7181,12583,6873,12187
26,7529,12369,7555,12331,7089,12572,6765,12222
27,7698,12448,7460,12441,7078,12517,6741,12138
28,7736,12997,7651,12750,7212,12567,6841,12205
29,7771,13151,7501,12694,7185,12849,6842,12344
30,7788,13225,7422,12765,7227,12779,6880,12273
31,7739,13121,7453,12861,7129,12640,6727,12527
32,7721,13422,7453,12902,7161,12706,6927,12341
33,7618,13246,7541,13105,7137,12823,6807,12282
34,7693,13593,7459,12991,7245,12753,6832,12578
35,7625,13492,7563,12918,7182,12945,6914,12640
36,7648,13642,7499,13174,7077,13027,6786,12601
37,7717,13580,7396,13013,7161,13071,6682,12686
38,7589,13653,7457,12933,7186,13321,6889,12742
39,7717,13703,7393,13083,7102,13283,6866,12875
40,7480,13660,7226,13013,7211,13094,6787,12828
41,7622,13549,7249,12971,7138,13076,6804,12796
42,7473,13559,7193,12968,6948,13104,6796,12974
43,7524,13544,7279,12997,7039,13094,6789,12831
44,7552,13813,7204,13109,7068,13185,6754,12848
45,7381,13669,7288,13089,6972,13149,6796,12825
46,7452,13590,7193,13033,6997,13094,6747,12845
47,7549,13804,7119,13075,6985,13244,6760,13017
48,7492,13791,7167,13192,6935,13226,6880,12911
49,7426,13661,7187,13205,6950,13408,6756,12749
50,7446,13745,7187,13405,6896,13349,6687,12932
51,7373,13815,7239,13249,6899,13321,6751,13002
52,7428,13862,7110,13143,6929,13377,6733,12960
53,7499,13953,7119,13306,6971,13385,6728,12863
54,7407,14165,7109,13348,6917,13577,6671,13013
55,7314,14107,7095,13387,6886,13512,6635,12989
56,7239,14049,7093,13427,7008,13572,6677,13179
57,7202,14068,7057,13564,6969,13577,6669,13291
58,7182,14097,7094,13642,6994,13593,6682,13351
59,7313,14073,7105,13389,6867,13724,6705,13309
60,7180,14172,7046,13432,6811,13628,6656,13189
61,7202,14163,7043,13537,6929,13734,6713,13409
62,7291,14072,7028,13550,6922,13718,6692,13430
63,7207,14273,6988,13613,6882,13596,6693,13449
64,7176,14187,6953,13585,6890,13631,6660,13100
65,7185,14161,7010,13634,6869,13603,6667,13299
66,7221,14095,6895,13636,6923,13691,6657,13330
67,7231,14058,6935,13602,6844,13698,6683,13251
68,7252,14217,6943,13623,6887,13635,6612,13340
69,7174,14089,7031,13585,6725,13655,6593,13343
70,7213,14233,6980,13540,6684,13590,6576,13361
71,7138,14156,6908,13513,6807,13626,6756,13473
72,7184,14173,7016,13429,6808,13647,6712,13384
73,7097,14242,6887,13460,6804,13693,6686,13392
74,7192,14215,6951,13437,6856,13690,6632,13356
75,7093,14171,6959,13621,6879,13703,6661,13429
76,7230,14142,6915,13486,6846,13659,6676,13370
77,7149,14267,6890,13498,6702,13692,6682,13268
78,7089,14319,6830,13597,6778,13505,6688,13254
79,7070,14254,6791,13323,6675,13644,6494,13300
80,7179,14228,6873,13451,6723,13470,6694,13419
81,7111,14193,6912,13271,6705,13524,6568,13318
82,7171,14186,6808,13325,6716,13508,6609,13316
83,7077,14258,6807,13197,6775,13493,6657,13233
84,7151,14361,6805,13201,6680,13705,6567,13313
85,7103,14226,6847,13250,6680,13583,6507,13308
86,7044,14071,6686,13317,6772,13680,6629,13168
87,7131,14126,6826,13177,6622,13563,6635,13289
88,7141,14173,6685,13373,6674,13571,6536,13317
89,7056,14281,6781,13284,6763,13513,6575,13148
90,7069,14202,6680,13350,6630,13379,6509,13274
91,6950,14213,6812,13183,6628,13553,6609,13232
92,7024,14174,6768,13211,6649,13333,6547,13200
93,7037,14249,6737,13125,6592,13292,6589,13252
94,6986,14262,6802,13193,6638,13508,6611,13289
95,6976,14152,6721,13125,6644,13359,6527,13166
96,7059,14176,6601,13345,6637,13229,6538,13092
97,6963,14020,6661,13052,6561,13241,6560,13119
98,7041,13956,6752,13222,6508,13263,6478,13109
99,6908,13980,6629,13121,6592,13244,6490,13026
100,6875,13770,6610,13123,6553,13443,6588,13113
101,6881,13828,6595,13176,6505,13211,6399,13036
102,6788,13530,6631,13168,6538,13160,6517,13153
103,6734,13538,6630,13229,6442,13255,6412,13098
104,6702,13547,6605,13238,6557,13409,6469,12885
105,6644,13445,6577,13205,6409,13328,6373,13008
106,6650,13335,6585,13470,6390,13311,6487,12974
107,6569,13411,6516,13179,6441,13212,6374,13009
108,6579,13380,6525,13233,6543,13268,6425,13096
109,6563,13209,6530,13209,6402,13296,6421,12956
110,6437,13165,6501,13326,6416,13091,6468,13007
111,6706,13089,6463,13213,6461,13420,6363,12887
112,6562,13098,6538,13140,6501,13259,6447,13030
113,6543,13075,6552,13148,6512,13373,6339,12838
114,6515,13013,6476,13330,6549,13155,6378,12979
115,6571,13071,6416,13212,6457,13402,6384,12891
116,6540,13119,6454,13423,6425,13188,6345,12875
117,6507,12965,6512,13355,6395,13323,6413,13026
118,6466,13093,6425,13178,6460,13261,6333,13070
119,6428,13050,6438,13189,6503,13291,6343,12833
120,6348,13058,6455,13280,6484,13247,6412,12827
121,6467,12939,6399,13337,6412,13262,6335,12900
122,6383,13011,6468,13174,6357,13141,6308,12896
123,6441,13079,6425,13119,6417,13284,6439,12890
124,6391,13031,6457,13405,6399,13170,6280,12896
125,6383,12973,6436,13327,6358,13245,6311,12885
126,6461,13103,6338,13360,6465,13299,6196,12814
127,6385,13159,6500,13295,6263,13372,6269,12790
128,6413,12931,6353,13428,6377,13301,6367,12863
129,6413,13112,6345,13439,6317,13051,6312,12839
130,6309,13209,6338,13412,6408,13099,6243,12819
131,6355,13144,6379,13241,6397,13287,6244,12780
132,6296,13207,6263,13327,6416,13320,6257,12886
133,6420,13085,6345,13125,6301,13233,6219,12868
134,6377,13123,6299,13275,6428,13233,6194,12826
135,6356,13146,6432,13339,6419,13358,6294,12857
136,6223,13045,6406,13405,6373,13244,6205,12910
137,6443,13220,6343,13423,6306,13215,6332,12853
138,6229,13108,6435,13527,6289,13403,6321,12939
139,6362,13244,6343,13469,6331,13238,6179,12817
140,6253,13141,6347,13589,6310,13535,6253,12740
141,6240,13196,6353,13548,6333,13399,6216,12912
142,6269,13164,6339,13597,6191,13399,6212,12943
143,6324,13308,6296,13517,6279,13378,6167,12895
144,6383,13333,6321,13611,6285,13411,6252,12795
145,6308,13215,6399,13695,6351,13461,6173,12782
146,6260,13107,6420,13614,6400,13525,6331,13006
147,6282,13305,6342,13665,6261,13501,6328,12989
148,6223,13415,6276,13837,6361,13517,6289,12855
149,6237,13332,6405,13734,6295,13610,6222,13004
150,6310,13311,6313,13850,6226,13476,6242,13027
151,6209,13515,6311,13691,6244,13618,6261,13021
152,6295,13503,6277,13989,6254,13640,6250,12927
153,6228,13187,6352,13700,6205,13644,6233,13140
154,6251,13219,6253,13919,6317,13566,6262,12981
155,6234,13263,6281,13964,6357,13497,6206,13116
156,6243,13307,6261,14119,6213,13367,6153,13032
157,6204,13428,6295,14079,6294,13623,6083,13045
158,6204,13276,6326,14122,6203,13627,6134,13165
159,6163,13332,6187,14141,6163,13578,6133,13156
160,6111,13414,6255,14181,6227,13728,6188,13058
161,6255,13431,6255,14097,6288,13648,6169,13123
162,6247,13263,6287,14125,6265,13721,6195,13111
163,6223,13422,6397,14301,6145,13684,6195,13240
164,6171,13352,6351,14323,6215,13753,6198,13065
165,6261,13335,6260,14268,6272,13829,6226,13373
166,6157,13342,6297,14460,6169,13775,6084,13344
167,6260,13499,6295,14341,6177,13877,6084,13259
168,6192,13698,6218,14340,6229,13793,6272,13196
169,6186,13542,6248,14458,6277,14045,6057,13205
